Ticker,Name,Industry,Market Price,Standard DCF,ML-Enhanced DCF,ML Growth Rates,ML+DL Ensemble DCF,DL Growth Rates,Standard P/V,ML P/V,ML+DL P/V,Error
2603.TW,Chang Hwa Bank,Banking,220.50,1085.69,783.38,"[0.15121244605028555, 0.14027405723416606, 0.12075528027302525, 0.10007326990876261, 0.07066748749429148]",590.57,"[0.07, 0.06436077706660227, 0.06046537973498897, 0.04087102753001036, 0.04391054039797118]",0.20x,0.28x,0.37x,
2357.TW,Asustek Computer,Computer Hardware,609.00,1165.26,419.65,"[0.14241717181970176, 0.1365274100951244, 0.11992113398101074, 0.08739413420977103, 0.06663418462258269]",419.63,"[0.15, 0.11541904179665882, 0.08050504303550644, 0.04, 0.05561733422725271]",0.52x,1.45x,1.45x,
2308.TW,Delta Electronics,Electronics,360.00,412.70,152.15,"[0.08924662415107057, 0.06945700785222007, 0.07904715178741413, 0.04814399017137917, 0.048830571817485374]",152.15,"[0.18, 0.12818054505666981, 0.1014822755277776, 0.06775805604115945, 0.04]",0.87x,2.37x,2.37x,
2317.TW,Hon Hai Precision,Electronics Manufacturing,146.00,280.93,271.63,"[0.11920432565717434, 0.06868658477008549, 0.05597515568886041, 0.04038559447802548, 0.04712716048211377]",265.59,"[0.15, 0.11941434671289947, 0.07526982509725431, 0.04339281300882428, 0.04]",0.52x,0.54x,0.55x,
2881.TW,Fubon Financial,Financial Services,85.30,117.50,80.74,"[0.15021258741207635, 0.08959412670882223, 0.06589899554894513, 0.04632321899166873, 0.0301300106191281]",65.20,"[0.1, 0.08734196901909978, 0.0720206157929578, 0.058984152747344705, 0.0520234888751817]",0.73x,1.06x,1.31x,
1216.TW,Uni-President,Food & Beverage,80.50,71.95,34.41,"[0.09457986499239933, 0.08554917304496418, 0.07031207258327324, 0.055505100425243516, 0.042167568301689856]",34.41,"[0.1, 0.07054507945922335, 0.057446213875691716, 0.05016894790786331, 0.048028643319850184]",1.12x,2.34x,2.34x,
2382.TW,Quanta Computer,Hardware,224.50,316.01,130.39,"[0.152090292125252, 0.10402957732791411, 0.08739176091846974, 0.06527693882187037, 0.05608853754222032]",130.39,"[0.15, 0.11135675461154199, 0.07930355255360765, 0.058683435332640255, 0.04]",0.71x,1.72x,1.72x,
1301.TW,Formosa Plastics,Materials,36.60,nan,nan,,nan,,nanx,nanx,nanx,float division by zero
6488.TWO,Marketech,Semiconductor Equipment,319.00,319.85,175.66,"[0.0409767418478407, 0.057873203071318734, 0.06714367919239943, 0.0674265564757968, 0.05786697049760678]",175.06,"[0.1, 0.06875327019182884, 0.051738874336962795, 0.04933068185476465, 0.03]",1.00x,1.82x,1.82x,
2303.TW,United Microelectronics,Semiconductors,44.65,104.33,72.15,"[0.08817552882029947, 0.07487208269534017, 0.07134952510737903, 0.06215836828609684, 0.05110792643808277]",75.31,"[0.18, 0.14016929738567427, 0.09081944407904846, 0.05306245883245499, 0.053448041922081385]",0.43x,0.62x,0.59x,
2330.TW,TSMC,Semiconductors,910.00,1033.86,1028.78,"[0.21760801622532505, 0.15516406403450117, 0.15281385066688177, 0.1076728168449876, 0.0766307995763772]",962.83,"[0.18, 0.14012101148278622, 0.07983431473143257, 0.07078763682572897, 0.04855179568006513]",0.88x,0.88x,0.95x,
2454.TW,MediaTek,Semiconductors,1390.00,1585.49,1125.98,"[0.10362589993655089, 0.09158277074706309, 0.07477122910638377, 0.052961028926496526, 0.0485831995236784]",1169.06,"[0.18, 0.12347678768129047, 0.09427856616314155, 0.0666052634777326, 0.043665440898386275]",0.88x,1.23x,1.19x,
2412.TW,Chunghwa Telecom,Telecommunications,128.50,115.82,66.37,"[0.03847761979248411, 0.036938425452381206, 0.034980860481744015, 0.03328199093280234, 0.02808505604289319]",66.01,"[0.03, 0.03268628097044606, 0.04166636150146597, 0.023760108399857222, 0.026548470004365707]",1.11x,1.94x,1.95x,
8069.TWO,E Ink Holdings Inc,ePaper,265.00,156.80,101.39,"[0.2514167061031497, 0.17274557960371761, 0.13379498622363772, 0.09591297715533889, 0.07459616782076288]",89.12,"[0.1, 0.08148461763666141, 0.0655321543616596, 0.04125205178994061, 0.04635769826305917]",1.69x,2.61x,2.97x,
